Frequency (GHz)	S21	S11
6.54502	-4.58955	-32.2739
6.58002	-4.63079	-32.20034
6.61502	-4.68227	-31.71691
6.65002	-4.6048	-30.21558
6.68502	-4.4108	-29.81551
6.72002	-4.30742	-29.25578
6.75502	-4.31898	-27.81232
6.79002	-4.34947	-27.80434
6.82502	-4.38606	-28.04894
6.86002	-4.48072	-27.27366
6.89502	-4.68529	-27.51146
6.93002	-4.87116	-27.98465
6.96502	-5.03624	-27.35758
7.00002	-5.21565	-27.64028
7.03501	-5.40403	-28.19444
7.07001	-5.5637	-27.82895
7.10501	-5.67345	-28.22205
7.14001	-5.69647	-29.20765
7.17501	-5.52884	-29.2362
7.21001	-5.32672	-29.57877
7.24501	-5.168	-31.15267
7.28001	-4.93686	-31.84697
7.31501	-4.71261	-33.33843
7.35001	-4.53427	-36.04453
7.38501	-4.37854	-37.99314
7.42001	-4.28042	-41.45875
7.45501	-4.26508	-43.59749
7.49001	-4.32139	-46.09117
7.52501	-4.4004	-49.04235
7.56001	-4.4344	-51.36819
7.59501	-4.3619	-56.82536
7.63001	-4.24327	-54.88428
7.66501	-4.15478	-56.79114
7.70001	-4.05428	-53.76452
7.73501	-3.86785	-48.24616
7.77001	-3.71229	-46.50934
7.80501	-3.54992	-44.94937
7.84001	-3.40206	-43.32434
7.87501	-3.25583	-42.27214
7.91001	-3.15371	-40.68051
7.94501	-3.086	-39.41223
7.98001	-3.09272	-39.47173
8.01501	-3.14655	-38.4275
8.05001	-3.26177	-36.81833
8.08501	-3.41235	-35.35782
8.12001	-3.63801	-35.08657
8.15501	-3.9689	-34.86125
8.19001	-4.38067	-34.91384
8.22501	-4.9298	-34.91728
8.26001	-5.57289	-35.43523
8.29501	-6.05423	-36.49642
8.33001	-5.91686	-38.34389
8.36501	-5.31761	-37.04089
8.40001	-4.75255	-34.8167
8.43501	-4.34871	-34.43602
8.47001	-4.0849	-33.80985
8.50501	-3.8793	-32.87384
8.54001	-3.74413	-32.36654
8.57501	-3.66817	-32.44453
8.61001	-3.54474	-32.297
8.64501	-3.42433	-32.41267
8.68001	-3.38761	-31.83685
8.71501	-3.34654	-32.21218
8.75001	-3.27145	-32.69838
8.78501	-3.19168	-32.62096
8.82001	-3.09671	-32.07741
8.85501	-3.02047	-32.57239
8.89001	-2.9121	-33.33437
8.92501	-2.80413	-33.49618
8.96001	-2.68684	-34.13942
8.99501	-2.55599	-34.88507
9.03001	-2.4347	-36.13901
9.06501	-2.33319	-37.3115
9.10001	-2.22082	-38.79839
9.13501	-2.11309	-39.97221
9.17001	-2.01344	-41.41241
9.20501	-1.93421	-42.99825
9.24001	-1.86034	-42.947
9.27501	-1.81677	-41.45876
9.31001	-1.80516	-40.20162
9.34501	-1.76139	-38.97632
9.38001	-1.78013	-37.89548
9.41501	-1.79832	-36.72166
9.45001	-1.83807	-35.09646
9.48501	-1.87311	-34.11084
9.52001	-1.92837	-33.04581
9.55501	-2.00309	-32.02791
9.59001	-2.0844	-31.55839
9.62501	-2.18758	-30.96715
9.66001	-2.31096	-30.03678
9.69501	-2.44137	-29.48516
9.73001	-2.58497	-29.22705
9.76501	-2.71101	-28.50654
9.80001	-2.86364	-28.23828
9.83501	-2.97752	-28.20876
9.87001	-3.12081	-27.68566
9.90501	-3.28508	-27.41888
9.94001	-3.44111	-27.65477
9.97501	-3.58455	-27.38065
10.01001	-3.7802	-27.36166
10.04501	-3.9744	-27.5995
10.08001	-4.19948	-27.35352
10.11501	-4.45199	-27.43896
10.15001	-4.71409	-27.62646
10.18501	-4.9816	-27.33926
10.22001	-5.22712	-27.38171
10.25501	-5.36648	-27.70835
10.29001	-5.44329	-27.61191
10.32501	-5.45379	-27.68807
10.36001	-5.45125	-28.05164
10.39501	-5.41695	-28.04268
10.43001	-5.34223	-28.26639
10.46501	-5.25582	-28.73839
10.50001	-5.23036	-28.97726
10.53501	-5.26393	-28.90562
10.57001	-5.30755	-29.21731
10.60501	-5.35141	-29.0268
10.64001	-5.45604	-28.36498
10.67501	-5.59392	-28.51482
10.71001	-5.72027	-28.46727
10.74501	-5.83405	-27.83729
10.78001	-5.91586	-28.08396
10.81501	-5.96628	-28.02729
10.85001	-5.9657	-27.38659
10.88501	-5.95393	-27.5012
10.92001	-5.88599	-27.7495
10.95501	-5.78168	-27.728
10.99001	-5.69894	-28.07197
11.02501	-5.65632	-28.41577
11.06001	-5.58038	-28.38142
11.09501	-5.57002	-28.83872
11.13001	-5.5723	-29.27508
11.16501	-5.51286	-29.08997
11.20001	-5.48408	-29.34043
11.23501	-5.38151	-29.97719
11.27001	-5.3124	-29.9067
11.30501	-5.24331	-29.83792
11.34001	-5.27574	-30.06363
11.37501	-5.37329	-29.3804
11.41001	-5.45911	-29.27583
11.44501	-5.54025	-29.49297
11.48001	-5.61643	-28.88945
11.51501	-5.68608	-28.3864
11.55001	-5.77705	-28.54762
11.58501	-5.79637	-28.11444
11.62001	-5.85758	-27.72294
11.65501	-5.92471	-27.84767
11.69	-5.9779	-27.54618
11.725	-6.04806	-27.24375
11.76	-6.25455	-27.53373
11.795	-6.52033	-27.46245
11.83	-6.82531	-27.04986
11.865	-7.28013	-27.41265
11.9	-7.86052	-27.57434
11.935	-8.61588	-27.29067
11.97	-9.5639	-27.93324
12.005	-10.7983	-28.3724
12.04	-12.09857	-28.36347
12.075	-12.93217	-29.36876
12.11	-12.6357	-30.18347
12.145	-11.22695	-30.50636
12.18	-9.54206	-31.49975
12.215	-8.09574	-31.67735
12.25	-6.90338	-30.83033
12.285	-6.09619	-30.90447
12.32	-5.41594	-30.79223
12.355	-4.96765	-29.80615
12.39	-4.69795	-29.74999
12.425	-4.48804	-29.6619
12.46	-4.38343	-29.04856
12.495	-4.36836	-29.0066
12.53	-4.42828	-28.94107
12.565	-4.54529	-28.4921
12.6	-4.69779	-28.33913
12.635	-4.92323	-28.39627
12.67	-5.21944	-27.81988
12.705	-5.54462	-27.83681
12.74	-5.92502	-28.0012
12.775	-6.33105	-27.57622
12.81	-6.71782	-27.78367
12.845	-7.11884	-27.81574
12.88	-7.49057	-27.57092
12.915	-7.77448	-27.57373
12.95	-8.06695	-27.66044
12.985	-8.38599	-27.42087
13.02	-8.72189	-27.58233
13.055	-9.06238	-27.80797
13.09	-9.50012	-27.59344
13.125	-10.09442	-27.9707
13.16	-10.81203	-28.42724
13.195	-11.75388	-27.75039
13.23	-12.83997	-28.00331
13.265	-13.95883	-28.16209
13.3	-15.06569	-27.79196
13.335	-15.86169	-28.03149
13.37	-15.82227	-28.33948
13.405	-15.2021	-27.84279
13.44	-14.17894	-27.93575
13.475	-13.0665	-28.45133
13.51	-12.30378	-28.05906
13.545	-11.50814	-28.17542
13.58	-10.91935	-28.87695
13.615	-10.54081	-28.60218
13.65	-10.296	-28.29603
13.685	-10.15814	-28.9701
13.72	-10.06642	-28.90758
13.755	-10.07512	-28.6651
13.79	-9.99312	-29.26123
13.825	-9.81566	-28.90506
13.86	-9.52586	-28.58742
13.895	-9.10668	-29.01184
13.93	-8.75614	-29.00794
13.965	-8.27934	-28.42209
14	-7.74392	-28.79919
14.02502	-3.14655	-38.4275
14.10002	-3.26177	-36.81833
14.17502	-3.41235	-35.35782
14.25002	-3.63801	-35.08657
14.32502	-3.9689	-34.86125
14.40002	-4.38067	-34.91384
14.47502	-4.9298	-34.91728
14.55002	-5.57289	-35.43523
14.62502	-6.05423	-36.49642
14.70002	-5.91686	-38.34389
14.77502	-5.31761	-37.04089
14.85002	-4.75255	-34.8167
14.92502	-4.34871	-34.43602
15.00002	-4.0849	-33.80985
15.07501	-3.8793	-32.87384
15.15001	-3.74413	-32.36654
15.22501	-3.66817	-32.44453
15.30001	-3.54474	-32.297
15.37501	-3.42433	-32.41267
15.45001	-3.38761	-31.83685
15.52501	-3.34654	-32.21218
15.60001	-3.27145	-32.69838
15.67501	-3.19168	-32.62096
15.75001	-3.09671	-32.07741
15.82501	-3.02047	-32.57239
15.90001	-2.9121	-33.33437
15.97501	-2.80413	-33.49618
16.05001	-2.68684	-34.13942
16.12501	-2.55599	-34.88507
16.20001	-2.4347	-36.13901
16.27501	-2.33319	-37.3115
16.35001	-2.22082	-38.79839
16.42501	-2.11309	-39.97221
16.50001	-2.01344	-41.41241
16.57501	-1.93421	-42.99825
16.65001	-1.86034	-42.947
16.72501	-1.81677	-41.45876
16.80001	-1.80516	-40.20162
16.87501	-1.76139	-38.97632
16.95001	-1.78013	-37.89548
17.02501	-1.79832	-36.72166
17.10001	-1.83807	-35.09646
17.17501	-1.87311	-34.11084
17.25001	-1.92837	-33.04581
17.32501	-2.00309	-32.02791
17.40001	-2.0844	-31.55839
17.47501	-2.18758	-30.96715
17.55001	-2.31096	-30.03678
17.62501	-2.44137	-29.48516
17.70001	-2.58497	-29.22705
17.77501	-2.71101	-28.50654
17.85001	-2.86364	-28.23828
17.92501	-2.97752	-28.20876
18.00001	-3.12081	-27.68566
18.07501	-3.28508	-27.41888
18.15001	-3.44111	-27.65477
18.22501	-3.58455	-27.38065
18.30001	-3.7802	-27.36166
18.37501	-3.9744	-27.5995
18.45001	-4.19948	-27.35352
18.52501	-4.45199	-27.43896
18.60001	-4.71409	-27.62646
18.67501	-4.9816	-27.33926
18.75001	-5.22712	-27.38171
18.82501	-5.36648	-27.70835
18.90001	-5.44329	-27.61191
18.97501	-5.45379	-27.68807
19.05001	-5.45125	-28.05164
19.12501	-5.41695	-28.04268
19.20001	-5.34223	-28.26639
19.27501	-5.25582	-28.73839
19.35001	-5.23036	-28.97726
19.42501	-5.26393	-28.90562
19.50001	-5.30755	-29.21731
19.57501	-5.35141	-29.0268
19.65001	-5.45604	-28.36498
19.72501	-5.59392	-28.51482
19.80001	-5.72027	-28.46727
19.87501	-5.83405	-27.83729
19.95001	-5.91586	-28.08396
20.02501	-5.96628	-28.02729
20.10001	-5.9657	-27.38659
20.17501	-5.95393	-27.5012
20.25001	-5.88599	-27.7495
20.32501	-5.78168	-27.728
20.40001	-5.69894	-28.07197
20.47501	-5.65632	-28.41577
20.55001	-5.58038	-28.38142
20.62501	-5.57002	-28.83872
20.70001	-5.5723	-29.27508
20.77501	-5.51286	-29.08997
20.85001	-5.48408	-29.34043
20.92501	-5.38151	-29.97719
21.00001	-5.3124	-28.6245
21.07501	-5.24331	-28.42675
21.15001	-5.27574	-28.34593
21.22501	-5.37329	-28.50291
21.30001	-5.45911	-28.92542
21.37501	-5.54025	-29.57478
21.45001	-5.61643	-30.39239
21.52501	-5.68608	-31.32809
21.60001	-5.77705	-32.34723
21.67501	-5.79637	-33.72633
21.75001	-5.85758	-35.62058
21.82501	-5.92471	-36.70023
21.90001	-5.9779	-37.54157
21.97501	-6.04806	-37.17019
22.05001	-6.25455	-35.24027
22.12501	-6.52033	-32.78857
22.20001	-6.82531	-30.87814
22.27501	-7.28013	-29.91043
22.35001	-7.86052	-29.72863
22.42501	-8.61588	-29.99747
22.50001	-9.5639	-30.37182
22.57501	-10.7983	-30.68427
22.65001	-12.09857	-30.81277
22.72501	-12.93217	-30.64671
22.80001	-12.6357	-31.04741
22.87501	-11.22695	-31.85664
22.95001	-9.54206	-32.84118
23.02501	-8.09574	-34.10266
23.10001	-6.90338	-34.75771
23.17501	-6.09619	-33.9458
23.25001	-5.41594	-32.7039
23.32501	-4.96765	-31.88175
23.40001	-4.69795	-31.62368
23.47501	-4.48804	-31.7215
23.55001	-4.38343	-31.84642
23.62501	-4.36836	-31.77694
23.70001	-4.42828	-31.49448
23.77501	-4.54529	-31.22126
23.85001	-4.69779	-31.46935
23.92501	-4.92323	-32.77545
24.00001	-5.21944	-35.04165
24.07501	-5.54462	-37.61441
24.15001	-5.92502	-39.7667
24.22501	-6.33105	-40.57677
24.30001	-6.71782	-36.14978
24.37501	-7.11884	-42.97242
24.45001	-7.49057	-41.6236
24.52501	-7.77448	-40.06915
24.60001	-8.06695	-37.85312
24.67501	-8.38599	-36.89798
24.75001	-8.72189	-36.09875
24.82501	-9.06238	-35.98486
24.90001	-9.50012	-37.47644
24.97501	-10.09442	-42.07709
25.05	-10.81203	-52.65719
25.125	-11.75388	-42.79118
25.2	-12.83997	-37.627
25.275	-13.95883	-35.3341
25.35	-15.06569	-34.48801
25.425	-15.86169	-34.41032
25.5	-15.82227	-34.6886
25.575	-15.2021	-35.11482
25.65	-14.17894	-35.74166
25.725	-13.0665	-37.32986
25.8	-12.30378	-40.90477
25.875	-11.50814	-45.03034
25.95	-10.91935	-51.18716
26.025	-10.54081	-57.60567
26.1	-10.296	-44.12627
26.175	-10.15814	-40.33642
26.25	-10.06642	-37.68408
26.325	-10.07512	-36.45259
26.4	-9.99312	-35.89034
26.475	-9.81566	-35.44858
26.55	-9.52586	-37.22697
26.625	-9.10668	-38.12197
26.7	-8.75614	-34.65932
26.775	-8.27934	-32.8762
26.85	-7.74392	-32.00515
26.925	-9.54206	-31.29184
27	-8.09574	-30.83366
27.075	-6.90338	-30.98654
27.15	-6.09619	-31.46384
27.225	-5.41594	-31.333
27.3	-4.96765	-30.96706
27.375	-4.69795	-31.03163
27.45	-4.48804	-32.73885
27.525	-4.38343	-33.38508
27.6	-4.36836	-33.84747
27.675	-4.42828	-36.22989
27.75	-4.54529	-34.88978
27.825	-4.69779	-32.43611
27.9	-4.92323	-30.76291
27.975	-5.21944	-29.66534
28.05	-5.54462	-28.7462
28.125	-5.92502	-27.57688
28.2	-6.33105	-27.07468
28.275	-6.71782	-27.49676
28.35	-7.11884	-27.94848
28.425	-7.49057	-27.83614
28.5	-7.77448	-27.28719
28.575	-8.06695	-27.62198
28.65	-8.38599	-28.82282
28.725	-8.72189	-30.14124
28.8	-9.06238	-31.80602
28.875	-9.50012	-32.34694
28.95	-10.09442	-31.14886
29.025	-10.81203	-30.96512
29.1	-11.75388	-31.0922
29.175	-12.83997	-32.02742
29.25	-13.95883	-34.9416
29.325	-15.06569	-43.252
29.4	-15.86169	-40.71409
29.475	-15.82227	-34.1924
29.55	-15.2021	-32.83944
29.625	-14.17894	-33.51054
29.7	-13.0665	-33.35594
29.775	-12.30378	-32.91565
29.85	-11.50814	-31.08892
29.925	-10.91935	-30.47273
30	-10.54081	-32.21385
